rank,live_stake_ada,name
182,1284015.790655,Michele_Harmonic
183,1279965.444122,RABIT
184,1259440.308622,ANGEL
185,1231630.078165,Kevin_ALBERT
186,1209669.392745,Unnamed
187,1204129.933416,Unnamed
188,1185900.452338,Unnamed
189,1179504.262595,8Ball
190,1174520.927538,Unnamed
191,1160962.541199,This Corrosion
192,1138060.12537,anonDREP
193,1134715.47917,Unnamed
194,1118860.652826,Unnamed
195,1115295.454089,Elite
196,1113647.525473,Andreas Sosilo
197,1101229.747594,Ryan Jones_Maestroman
198,1096219.805806,Ada.StakeIt.Net
199,1088341.415377,EDEN
200,1086005.816057,Unnamed
201,1081653.512739,CaFi
202,1026077.482328,AtlasHub
203,1024988.246358,TOPO
204,973298.036407,Montrasi
205,971428.454866,Long Minswap ロング
206,946524.360023,THOR
207,941632.038534,Yosh
208,926023.022591,CongeePool
209,924883.683095,Unnamed
210,923542.243926,Unnamed
